Timestamp,Frequency(Hz),Current(A),RPM,Voltage(V),VFD_Temp(C),ApparentPower(VA),LoadFriction(A/Hz),CoolingEfficiency(C/VA),TorqueEst
4/10/2026 7:12,5.2,1.7,156,318,30,540.6,0.3269,0.0555,103.96
4/10/2026 7:14,5.3,1.7,159,317,39,538.9,0.3208,0.0724,101.68
4/10/2026 7:15,5.4,1.7,162,319,43,542.3,0.3148,0.0793,100.43
4/10/2026 7:17,5.5,1.6,165,319,51,510.4,0.2909,0.0999,92.8
4/10/2026 7:18,5.6,1.6,168,317,57,507.2,0.2909,0.1124,92.22
2026-04-10 07:24:07,5.7,1.6,171.0,320.0,56.0,512.0,0.2807,0.1094,89.82
2026-04-10 07:26:48,5.8,1.6,174.0,318.0,60.0,508.8,0.2759,0.1179,87.72
2026-04-10 07:27:57,5.9,1.6,177.0,318.0,64.0,508.8,0.2712,0.1258,86.24
2026-04-10 07:28:56,6.0,1.6,180.0,318.0,68.0,508.8,0.2667,0.1336,84.8
2026-04-10 07:41:46,6.1,1.7,183.0,317.0,48.0,538.9,0.2787,0.0891,88.34
2026-04-10 07:42:47,6.2,1.7,186.0,319.0,54.0,542.3,0.2742,0.0996,87.47
2026-04-10 07:43:54,6.3,1.6,189.0,318.0,60.0,508.8,0.254,0.1179,80.76
2026-04-10 07:45:22,6.4,1.6,192.0,318.0,63.0,508.8,0.25,0.1238,79.5
2026-04-10 07:46:56,6.5,1.6,195.0,318.0,68.0,508.8,0.2462,0.1336,78.28
2026-04-10 07:48:16,6.6,1.6,198.0,318.0,70.0,508.8,0.2424,0.1376,77.09
2026-04-10 07:51:21,6.7,1.6,201.0,318.0,69.0,508.8,0.2388,0.1356,75.94
2026-04-10 07:52:52,6.8,1.6,204.0,319.0,71.0,510.4,0.2353,0.1391,75.06
2026-04-10 07:54:06,6.9,1.6,207.0,319.0,72.0,510.4,0.2319,0.1411,73.97
2026-04-10 07:55:21,7.0,1.5,210.0,320.0,78.0,480.0,0.2143,0.1625,68.57
2026-04-10 08:27:09,7.1,1.6,213.0,315.0,31.0,504.0,0.2254,0.0615,70.99
2026-04-10 08:28:16,7.2,1.6,216.0,316.0,39.0,505.6,0.2222,0.0771,70.22
2026-04-10 08:29:59,7.3,1.6,219.0,315.0,42.0,504.0,0.2192,0.0833,69.04
2026-04-10 08:37:46,7.4,1.6,222.0,314.0,40.0,502.4,0.2162,0.0796,67.89
2026-04-10 08:39:47,7.5,1.6,225.0,314.0,48.0,502.4,0.2133,0.0955,66.99
2026-04-10 08:41:35,7.6,1.5,228.0,317.0,55.0,475.5,0.1974,0.1157,62.57
2026-04-10 09:49:25,7.7,1.6,231.0,309.0,26.0,494.4,0.2078,0.0526,64.21
2026-04-10 09:53:42,7.8,1.6,234.0,309.0,29.0,494.4,0.2051,0.0587,63.38
2026-04-10 09:55:43,7.9,1.5,237.0,311.0,39.0,466.5,0.1899,0.0836,59.05
2026-04-10 09:56:44,8.0,1.5,240.0,311.0,43.0,466.5,0.1875,0.0922,58.31
2026-04-10 10:03:24,8.1,1.5,243.0,310.0,40.0,465.0,0.1852,0.086,57.41
2026-04-10 10:12:59,8.2,1.5,246.0,309.0,39.0,463.5,0.1829,0.0841,56.52
2026-04-10 10:19:08,8.3,1.5,249.0,311.0,40.0,466.5,0.1807,0.0857,56.2
2026-04-10 10:29:06,8.4,1.5,252.0,312.0,40.0,468.0,0.1786,0.0855,55.71
2026-04-10 10:32:15,8.5,1.5,255.0,312.0,41.0,468.0,0.1765,0.0876,55.06
2026-04-10 10:34:32,8.6,1.5,258.0,311.0,44.0,466.5,0.1744,0.0943,54.24
2026-04-10 10:44:31,8.7,1.5,261.0,312.0,43.0,468.0,0.1724,0.0919,53.79
2026-04-10 10:56:17,8.8,1.5,264.0,312.0,37.0,468.0,0.1705,0.0791,53.18
2026-04-10 10:58:08,8.9,1.5,267.0,311.0,41.0,466.5,0.1685,0.0879,52.42
2026-04-10 11:00:01,9.0,1.5,270.0,312.0,48.0,468.0,0.1667,0.1026,52.0
2026-04-10 11:06:36,9.1,1.5,273.0,314.0,49.0,471.0,0.1648,0.104,51.76
2026-04-10 11:07:40,9.2,1.4,276.0,313.0,56.0,438.2,0.1522,0.1278,47.63
2026-04-10 11:08:29,9.3,1.4,279.0,313.0,60.0,438.2,0.1505,0.1369,47.12
2026-04-10 11:09:32,9.4,1.4,282.0,313.0,64.0,438.2,0.1489,0.1461,46.62
2026-04-10 11:10:28,9.5,1.4,285.0,314.0,67.0,439.6,0.1474,0.1524,46.27
2026-04-10 11:11:24,9.6,1.4,288.0,312.0,71.0,436.8,0.1458,0.1625,45.5
2026-04-10 11:12:30,9.7,1.4,291.0,313.0,73.0,438.2,0.1443,0.1666,45.18
2026-04-10 11:19:20,9.8,1.4,294.0,312.0,61.0,436.8,0.1429,0.1397,44.57
2026-04-10 11:20:33,9.9,1.4,297.0,312.0,64.0,436.8,0.1414,0.1465,44.12
2026-04-10 11:26:03,10.0,1.4,300.0,311.0,60.0,435.4,0.14,0.1378,43.54
2026-04-10 12:50:00,10.1,1.4,303.0,315.0,23.0,441.0,0.1386,0.0522,43.66
2026-04-10 12:52:19,10.2,1.3,306.0,315.0,29.0,409.5,0.1275,0.0708,40.15
2026-04-11 00:34:16,10.3,1.4,309.0,312.0,30.0,436.8,0.1359,0.0687,42.41
2026-04-11 10:56:50,10.4,1.4,312.0,315.0,29.0,441.0,0.1346,0.0658,42.4
2026-04-11 10:58:18,10.5,1.3,315.0,316.0,36.0,410.8,0.1238,0.0876,39.12
2026-04-11 10:59:30,10.6,1.3,318.0,317.0,40.0,412.1,0.1226,0.0971,38.88
2026-04-11 11:05:45,10.7,1.3,321.0,316.0,35.0,410.8,0.1215,0.0852,38.39
2026-04-11 11:06:40,10.8,1.3,324.0,316.0,38.0,410.8,0.1204,0.0925,38.04
2026-04-11 11:07:32,10.9,1.3,327.0,317.0,41.0,412.1,0.1193,0.0995,37.81
2026-04-11 11:08:42,11.0,1.3,330.0,315.0,44.0,409.5,0.1182,0.1074,37.23
2026-04-11 11:10:20,11.1,1.3,333.0,315.0,48.0,409.5,0.1171,0.1172,36.89
2026-04-11 11:11:16,11.2,1.3,336.0,313.0,50.0,406.9,0.1161,0.1229,36.33
2026-04-11 11:12:23,11.3,1.3,339.0,316.0,52.0,410.8,0.115,0.1266,36.35
2026-04-11 11:13:41,11.4,1.2,342.0,314.0,55.0,376.8,0.1053,0.146,33.05
2026-04-11 11:14:55,11.5,1.2,345.0,315.0,57.0,378.0,0.1043,0.1508,32.87
2026-04-11 11:15:49,11.6,1.2,348.0,315.0,58.0,378.0,0.1034,0.1534,32.59
2026-04-11 11:18:50,11.7,1.2,351.0,316.0,53.0,379.2,0.1026,0.1398,32.41
2026-04-11 11:19:58,11.8,1.2,354.0,315.0,55.0,378.0,0.1017,0.1455,32.03
2026-04-11 11:21:09,11.9,1.2,357.0,316.0,57.0,379.2,0.1008,0.1503,31.87
2026-04-11 11:24:59,12.0,1.2,360.0,317.0,50.0,380.4,0.1,0.1314,31.7
2026-04-11 11:27:07,12.1,1.2,363.0,318.0,50.0,381.6,0.0992,0.131,31.54
2026-04-11 11:49:55,12.2,1.2,366.0,315.0,26.0,378.0,0.0984,0.0688,30.98
2026-04-11 11:51:07,12.3,1.2,369.0,314.0,31.0,376.8,0.0976,0.0823,30.63
2026-04-11 11:52:12,12.4,1.2,372.0,315.0,38.0,378.0,0.0968,0.1005,30.48
2026-04-11 11:53:07,12.5,1.2,375.0,315.0,40.0,378.0,0.096,0.1058,30.24
2026-04-11 11:54:14,12.6,1.2,378.0,315.0,42.0,378.0,0.0952,0.1111,30.0
2026-04-11 11:55:15,12.7,1.2,381.0,320.0,48.0,384.0,0.0945,0.125,30.24
2026-04-11 11:56:23,12.8,1.2,384.0,317.0,51.0,380.4,0.0937,0.1341,29.72
2026-04-11 11:57:23,12.9,1.1,387.0,315.0,55.0,346.5,0.0853,0.1587,26.86
2026-04-11 11:58:25,13.0,1.1,390.0,316.0,56.0,347.6,0.0846,0.1611,26.74
2026-04-11 12:02:57,13.1,1.1,393.0,316.0,42.0,347.6,0.084,0.1208,26.53
2026-04-11 12:03:51,13.2,1.1,396.0,316.0,46.0,347.6,0.0833,0.1323,26.33
2026-04-11 12:04:49,13.3,1.1,399.0,317.0,51.0,348.7,0.0827,0.1463,26.22
2026-04-11 12:05:45,13.4,1.1,402.0,316.0,54.0,347.6,0.0821,0.1554,25.94
2026-04-11 12:06:39,13.5,1.1,405.0,317.0,57.0,348.7,0.0815,0.1635,25.83
2026-04-11 12:07:49,13.6,1.1,408.0,317.0,57.0,348.7,0.0809,0.1635,25.64
2026-04-11 12:10:07,13.7,1.1,411.0,317.0,53.0,348.7,0.0803,0.152,25.45
2026-04-11 12:11:15,13.8,1.1,414.0,316.0,55.0,347.6,0.0797,0.1582,25.19
2026-04-11 12:12:16,13.9,1.1,417.0,316.0,55.0,347.6,0.0791,0.1582,25.01
2026-04-11 12:13:13,14.0,1.1,420.0,317.0,56.0,348.7,0.0786,0.1606,24.91
2026-04-11 12:14:23,14.1,1.1,423.0,315.0,56.0,346.5,0.078,0.1616,24.57
2026-04-11 12:15:16,14.2,1.1,426.0,315.0,56.0,346.5,0.0775,0.1616,24.4
2026-04-11 12:22:23,14.3,1.1,429.0,319.0,40.0,350.9,0.0769,0.114,24.54
2026-04-11 12:23:37,14.4,1.1,432.0,317.0,42.0,348.7,0.0764,0.1204,24.22
2026-04-11 12:24:26,14.5,1.1,435.0,318.0,49.0,349.8,0.0759,0.1401,24.12
2026-04-11 12:25:28,14.6,1.0,438.0,317.0,52.0,317.0,0.0685,0.164,21.71
2026-04-11 12:26:39,14.7,1.0,441.0,318.0,54.0,318.0,0.068,0.1698,21.63
2026-04-11 12:27:37,14.8,1.0,444.0,318.0,56.0,318.0,0.0676,0.1761,21.49
2026-04-11 12:28:26,14.9,1.0,447.0,318.0,56.0,318.0,0.0671,0.1761,21.34
2026-04-11 12:29:25,15.0,1.0,450.0,319.0,57.0,319.0,0.0667,0.1787,21.27
,,,,,,,,,
