Frequency(Hz),Current(A),RPM,Voltage(V),VFD_Temp(C),ApparentPower(VA),LoadFriction(A/Hz),CoolingEfficiency(C/VA),TorqueEst,State_Label
4.6,1.6,138.0,318.0,73.0,508.8,0.3478,0.1435,110.61,0
4.7,1.7,141.0,319.0,67.0,542.3,0.3617,0.1235,115.38,0
4.8,1.7,144.0,312.0,48.0,530.4,0.3542,0.0905,110.5,0
4.9,1.7,147.0,312.0,51.0,530.4,0.3469,0.0962,108.24,0
5.0,1.7,150.0,310.0,54.0,527.0,0.34,0.1025,105.4,0
5.1,1.7,153.0,318.0,26.0,540.6,0.3333,0.0481,106.0,0
5.2,1.7,156.0,318.0,30.0,540.6,0.3269,0.0555,103.96,0
5.3,1.7,159.0,317.0,39.0,538.9,0.3208,0.0724,101.68,0
5.4,1.7,162.0,319.0,43.0,542.3,0.3148,0.0793,100.43,0
5.5,1.6,165.0,319.0,51.0,510.4,0.2909,0.0999,92.8,0
5.6,1.6,168.0,317.0,57.0,507.2,0.2909,0.1124,92.22,0
5.7,1.6,171.0,320.0,56.0,512.0,0.2807,0.1094,89.82,0
5.8,1.6,174.0,318.0,60.0,508.8,0.2759,0.1179,87.72,0
5.9,1.6,177.0,318.0,64.0,508.8,0.2712,0.1258,86.24,0
6.0,1.6,180.0,318.0,68.0,508.8,0.2667,0.1336,84.8,0
6.1,1.7,183.0,317.0,48.0,538.9,0.2787,0.0891,88.34,0
6.2,1.7,186.0,319.0,54.0,542.3,0.2742,0.0996,87.47,0
6.3,1.6,189.0,318.0,60.0,508.8,0.254,0.1179,80.76,0
6.4,1.6,192.0,318.0,63.0,508.8,0.25,0.1238,79.5,0
6.5,1.6,195.0,318.0,68.0,508.8,0.2462,0.1336,78.28,0
6.6,1.6,198.0,318.0,70.0,508.8,0.2424,0.1376,77.09,0
6.7,1.6,201.0,318.0,69.0,508.8,0.2388,0.1356,75.94,0
6.8,1.6,204.0,319.0,71.0,510.4,0.2353,0.1391,75.06,0
6.9,1.6,207.0,319.0,72.0,510.4,0.2319,0.1411,73.97,0
7.0,1.5,210.0,320.0,78.0,480.0,0.2143,0.1625,68.57,0
7.1,1.6,213.0,315.0,31.0,504.0,0.2254,0.0615,70.99,0
7.2,1.6,216.0,316.0,39.0,505.6,0.2222,0.0771,70.22,0
7.3,1.6,219.0,315.0,42.0,504.0,0.2192,0.0833,69.04,0
7.4,1.6,222.0,314.0,40.0,502.4,0.2162,0.0796,67.89,0
7.5,1.6,225.0,314.0,48.0,502.4,0.2133,0.0955,66.99,0
7.6,1.5,228.0,317.0,55.0,475.5,0.1974,0.1157,62.57,0
7.7,1.6,231.0,309.0,26.0,494.4,0.2078,0.0526,64.21,0
7.8,1.6,234.0,309.0,29.0,494.4,0.2051,0.0587,63.38,0
7.9,1.5,237.0,311.0,39.0,466.5,0.1899,0.0836,59.05,0
8.0,1.5,240.0,311.0,43.0,466.5,0.1875,0.0922,58.31,0
8.1,1.5,243.0,310.0,40.0,465.0,0.1852,0.086,57.41,0
8.2,1.5,246.0,309.0,39.0,463.5,0.1829,0.0841,56.52,0
8.3,1.5,249.0,311.0,40.0,466.5,0.1807,0.0857,56.2,0
8.4,1.5,252.0,312.0,40.0,468.0,0.1786,0.0855,55.71,0
8.5,1.5,255.0,312.0,41.0,468.0,0.1765,0.0876,55.06,0
8.6,1.5,258.0,311.0,44.0,466.5,0.1744,0.0943,54.24,0
8.7,1.5,261.0,312.0,43.0,468.0,0.1724,0.0919,53.79,0
8.8,1.5,264.0,312.0,37.0,468.0,0.1705,0.0791,53.18,0
8.9,1.5,267.0,311.0,41.0,466.5,0.1685,0.0879,52.42,0
9.0,1.5,270.0,312.0,48.0,468.0,0.1667,0.1026,52.0,0
9.1,1.5,273.0,314.0,49.0,471.0,0.1648,0.104,51.76,0
9.2,1.4,276.0,313.0,56.0,438.2,0.1522,0.1278,47.63,0
9.3,1.4,279.0,313.0,60.0,438.2,0.1505,0.1369,47.12,0
9.4,1.4,282.0,313.0,64.0,438.2,0.1489,0.1461,46.62,0
9.5,1.4,285.0,314.0,67.0,439.6,0.1474,0.1524,46.27,0
9.6,1.4,288.0,312.0,71.0,436.8,0.1458,0.1625,45.5,0
9.7,1.4,291.0,313.0,73.0,438.2,0.1443,0.1666,45.18,0
9.8,1.4,294.0,312.0,61.0,436.8,0.1429,0.1397,44.57,0
9.9,1.4,297.0,312.0,64.0,436.8,0.1414,0.1465,44.12,0
10.0,1.4,300.0,311.0,60.0,435.4,0.14,0.1378,43.54,0
10.1,1.4,303.0,315.0,23.0,441.0,0.1386,0.0522,43.66,0
10.2,1.3,306.0,315.0,29.0,409.5,0.1275,0.0708,40.15,0
10.3,1.4,309.0,312.0,30.0,436.8,0.1359,0.0687,42.41,0
10.4,1.4,312.0,315.0,29.0,441.0,0.1346,0.0658,42.4,0
10.5,1.3,315.0,316.0,36.0,410.8,0.1238,0.0876,39.12,0
10.6,1.3,318.0,317.0,40.0,412.1,0.1226,0.0971,38.88,0
10.7,1.3,321.0,316.0,35.0,410.8,0.1215,0.0852,38.39,0
10.8,1.3,324.0,316.0,38.0,410.8,0.1204,0.0925,38.04,0
10.9,1.3,327.0,317.0,41.0,412.1,0.1193,0.0995,37.81,0
11.0,1.3,330.0,315.0,44.0,409.5,0.1182,0.1074,37.23,0
11.1,1.3,333.0,315.0,48.0,409.5,0.1171,0.1172,36.89,0
11.2,1.3,336.0,313.0,50.0,406.9,0.1161,0.1229,36.33,0
11.3,1.3,339.0,316.0,52.0,410.8,0.115,0.1266,36.35,0
11.4,1.2,342.0,314.0,55.0,376.8,0.1053,0.146,33.05,0
11.5,1.2,345.0,315.0,57.0,378.0,0.1043,0.1508,32.87,0
11.6,1.2,348.0,315.0,58.0,378.0,0.1034,0.1534,32.59,0
11.7,1.2,351.0,316.0,53.0,379.2,0.1026,0.1398,32.41,0
11.8,1.2,354.0,315.0,55.0,378.0,0.1017,0.1455,32.03,0
11.9,1.2,357.0,316.0,57.0,379.2,0.1008,0.1503,31.87,0
12.0,1.2,360.0,317.0,50.0,380.4,0.1,0.1314,31.7,0
12.1,1.2,363.0,318.0,50.0,381.6,0.0992,0.131,31.54,0
12.2,1.2,366.0,315.0,26.0,378.0,0.0984,0.0688,30.98,0
12.3,1.2,369.0,314.0,31.0,376.8,0.0976,0.0823,30.63,0
12.4,1.2,372.0,315.0,38.0,378.0,0.0968,0.1005,30.48,0
12.5,1.2,375.0,315.0,40.0,378.0,0.096,0.1058,30.24,0
12.6,1.2,378.0,315.0,42.0,378.0,0.0952,0.1111,30.0,0
12.7,1.2,381.0,320.0,48.0,384.0,0.0945,0.125,30.24,0
12.8,1.2,384.0,317.0,51.0,380.4,0.0937,0.1341,29.72,0
12.9,1.1,387.0,315.0,55.0,346.5,0.0853,0.1587,26.86,0
13.0,1.1,390.0,316.0,56.0,347.6,0.0846,0.1611,26.74,0
13.1,1.1,393.0,316.0,42.0,347.6,0.084,0.1208,26.53,0
13.2,1.1,396.0,316.0,46.0,347.6,0.0833,0.1323,26.33,0
13.3,1.1,399.0,317.0,51.0,348.7,0.0827,0.1463,26.22,0
13.4,1.1,402.0,316.0,54.0,347.6,0.0821,0.1554,25.94,0
13.5,1.1,405.0,317.0,57.0,348.7,0.0815,0.1635,25.83,0
13.6,1.1,408.0,317.0,57.0,348.7,0.0809,0.1635,25.64,0
13.7,1.1,411.0,317.0,53.0,348.7,0.0803,0.152,25.45,0
13.8,1.1,414.0,316.0,55.0,347.6,0.0797,0.1582,25.19,0
13.9,1.1,417.0,316.0,55.0,347.6,0.0791,0.1582,25.01,0
14.0,1.1,420.0,317.0,56.0,348.7,0.0786,0.1606,24.91,0
14.1,1.1,423.0,315.0,56.0,346.5,0.078,0.1616,24.57,0
14.2,1.1,426.0,315.0,56.0,346.5,0.0775,0.1616,24.4,0
14.3,1.1,429.0,319.0,40.0,350.9,0.0769,0.114,24.54,0
14.4,1.1,432.0,317.0,42.0,348.7,0.0764,0.1204,24.22,0
14.5,1.1,435.0,318.0,49.0,349.8,0.0759,0.1401,24.12,0
14.6,1.0,438.0,317.0,52.0,317.0,0.0685,0.164,21.71,0
14.7,1.0,441.0,318.0,54.0,318.0,0.068,0.1698,21.63,0
14.8,1.0,444.0,318.0,56.0,318.0,0.0676,0.1761,21.49,0
14.9,1.0,447.0,318.0,56.0,318.0,0.0671,0.1761,21.34,0
15.0,1.0,450.0,319.0,57.0,319.0,0.0667,0.1787,21.27,0
10.0,1.85,300.0,316.1,45.5,583.6,0.1846,0.0779,57.34,1
10.3,1.69,308.0536912751678,316.9,37.5,536.0,0.1647,0.0699,56.57,1
10.5,1.67,316.1073825503356,316.0,44.8,527.1,0.1583,0.085,59.64,1
10.8,1.68,324.16107382550337,317.1,51.8,531.9,0.1552,0.0974,62.88,1
11.1,1.89,332.2147651006712,319.2,50.2,602.8,0.1705,0.0833,44.41,1
11.3,1.89,340.2684563758389,316.8,36.6,599.5,0.1669,0.061,47.75,1
11.6,1.84,348.3221476510067,314.1,51.4,578.7,0.1587,0.0887,53.89,1
11.9,1.69,356.3758389261745,314.0,45.2,530.6,0.1422,0.0851,32.62,1
12.1,1.72,364.4295302013423,313.8,40.1,541.2,0.142,0.0741,55.44,1
12.4,1.91,372.4832214765101,314.6,38.4,601.5,0.154,0.0639,62.21,1
12.7,1.65,380.53691275167785,317.3,48.9,524.1,0.1302,0.0933,39.52,1
13.0,1.75,388.59060402684565,311.0,46.2,545.4,0.1354,0.0848,41.24,1
13.2,1.83,396.6442953020134,315.2,50.0,576.5,0.1383,0.0867,35.14,1
13.5,1.76,404.6979865771812,316.0,40.8,554.6,0.1301,0.0736,46.59,1
13.8,1.65,412.75167785234896,315.0,41.4,519.8,0.1199,0.0797,30.46,1
14.0,1.69,420.8053691275168,312.9,50.0,528.5,0.1204,0.0947,42.54,1
14.3,1.7,428.8590604026846,315.3,37.6,534.7,0.1186,0.0703,28.98,1
14.6,1.97,436.9127516778523,314.0,47.9,618.5,0.1353,0.0775,40.59,1
14.8,1.84,444.9664429530201,313.8,45.5,577.6,0.1241,0.0788,48.72,1
15.1,1.76,453.0201342281879,318.4,45.4,561.2,0.1167,0.0809,41.97,1
15.4,1.74,461.0738255033557,319.6,44.9,557.1,0.1134,0.0806,45.36,1
15.6,1.68,469.1275167785235,314.8,50.4,527.3,0.1071,0.0956,42.49,1
15.9,1.72,477.1812080536913,317.5,49.0,544.9,0.1079,0.0899,44.43,1
16.2,1.89,485.2348993288591,316.2,47.1,598.5,0.117,0.0787,34.31,1
16.4,1.76,493.2885906040268,317.6,30.8,559.2,0.1071,0.055,38.73,1
16.7,1.8,501.3422818791947,315.0,44.5,566.3,0.1076,0.0785,43.8,1
17.0,1.69,509.3959731543624,316.7,43.3,536.1,0.0997,0.0807,32.15,1
17.2,1.75,517.4496644295302,318.8,50.2,557.1,0.1013,0.0902,37.54,1
17.5,1.66,525.5033557046979,314.7,42.9,522.8,0.0948,0.082,30.22,1
17.8,1.45,533.5570469798657,312.3,37.5,451.5,0.0813,0.083,32.06,1
18.1,1.77,541.6107382550335,314.4,41.2,556.2,0.098,0.074,29.0,1
18.3,1.82,549.6644295302012,310.2,51.2,564.8,0.0994,0.0906,34.91,1
18.6,1.7,557.7181208053692,313.8,45.4,533.4,0.0914,0.0852,34.55,1
18.9,1.73,565.7718120805368,315.1,48.4,545.3,0.0918,0.0888,33.95,1
19.1,1.75,573.8255033557047,317.9,35.0,557.6,0.0917,0.0628,33.11,1
19.4,1.69,581.8791946308725,315.5,53.4,532.3,0.087,0.1003,30.4,1
19.7,1.67,589.9328859060403,314.0,49.7,523.5,0.0848,0.095,22.09,1
19.9,1.69,597.9865771812081,316.9,45.8,535.4,0.0848,0.0855,31.02,1
20.2,1.62,606.0402684563758,314.3,38.3,509.2,0.0802,0.0753,22.1,1
20.5,1.61,614.0939597315437,314.3,44.8,506.3,0.0787,0.0885,27.69,1
20.7,1.54,622.1476510067114,317.1,36.7,487.5,0.0741,0.0754,16.85,1
21.0,2.0,630.2013422818792,315.6,43.5,631.1,0.0952,0.0689,31.23,1
21.3,1.6,638.255033557047,317.5,51.8,506.8,0.075,0.1023,26.09,1
21.5,1.79,646.3087248322148,319.7,47.9,572.0,0.0831,0.0837,23.81,1
21.8,1.75,654.3624161073826,317.9,50.3,556.1,0.0802,0.0905,27.71,1
22.1,1.69,662.4161073825503,314.4,42.6,531.5,0.0766,0.0802,29.98,1
22.3,1.7,670.4697986577182,315.8,47.6,538.1,0.0762,0.0885,27.19,1
22.6,1.63,678.5234899328859,314.7,44.2,511.4,0.0719,0.0864,21.42,1
22.9,1.6,686.5771812080536,318.8,36.2,509.3,0.0698,0.071,16.42,1
23.2,1.81,694.6308724832214,316.8,48.2,574.8,0.0784,0.0839,22.93,1
23.4,1.56,702.6845637583892,316.9,43.2,495.9,0.0668,0.0872,25.92,1
23.7,1.81,710.738255033557,313.6,42.2,569.0,0.0766,0.0742,28.38,1
24.0,1.69,718.7919463087247,314.1,42.9,531.0,0.0705,0.0809,27.65,1
24.2,1.76,726.8456375838927,315.9,37.4,557.4,0.0728,0.0672,24.29,1
24.5,1.76,734.8993288590603,311.1,41.9,546.3,0.0717,0.0767,19.87,1
24.8,1.91,742.9530201342283,315.2,39.2,601.1,0.077,0.0652,22.4,1
25.0,1.95,751.006711409396,316.3,49.1,618.3,0.0781,0.0793,28.25,1
25.3,1.71,759.0604026845638,316.4,48.7,541.5,0.0676,0.09,19.37,1
25.6,1.96,767.1140939597316,315.0,47.7,618.4,0.0768,0.0772,19.61,1
25.8,1.57,775.1677852348993,313.2,45.0,491.2,0.0607,0.0915,17.94,1
26.1,1.72,783.2214765100672,314.2,39.0,539.4,0.0657,0.0723,16.63,1
26.4,1.7,791.2751677852349,316.9,45.2,537.6,0.0643,0.0841,20.68,1
26.6,1.95,799.3288590604027,314.8,47.3,612.8,0.0731,0.0772,22.59,1
26.9,1.77,807.3825503355705,312.8,54.3,554.3,0.0658,0.0979,22.36,1
27.2,1.63,815.4362416107383,313.4,47.1,510.8,0.06,0.0922,19.3,1
27.4,1.59,823.489932885906,313.5,47.9,497.0,0.0578,0.0965,14.36,1
27.7,1.82,831.5436241610738,313.5,44.2,571.0,0.0657,0.0774,17.98,1
28.0,1.54,839.5973154362416,315.6,37.9,486.0,0.055,0.078,15.51,1
28.3,1.73,847.6510067114093,316.1,46.1,547.5,0.0613,0.0841,18.69,1
28.5,1.64,855.7046979865771,311.3,53.4,509.7,0.0574,0.1048,17.53,1
28.8,1.67,863.7583892617449,319.3,54.1,533.8,0.0581,0.1013,19.82,1
29.1,1.84,871.8120805369127,315.1,45.1,579.1,0.0632,0.0779,15.56,1
29.3,1.61,879.8657718120805,316.0,38.9,508.4,0.0549,0.0765,22.19,1
29.6,1.59,887.9194630872483,313.5,48.4,497.9,0.0537,0.0972,13.6,1
29.9,1.56,895.9731543624162,310.1,46.1,485.0,0.0524,0.0951,15.09,1
30.1,1.8,904.0268456375838,314.9,47.3,566.9,0.0598,0.0835,13.32,1
30.4,1.55,912.0805369127517,318.3,47.2,492.9,0.0509,0.0957,18.15,1
30.7,1.75,920.1342281879196,317.5,46.9,554.8,0.057,0.0846,16.03,1
30.9,1.59,928.1879194630872,312.7,46.5,496.3,0.0513,0.0936,16.71,1
31.2,1.7,936.2416107382552,314.4,45.3,534.1,0.0544,0.0849,19.19,1
31.5,1.69,944.2953020134228,318.8,34.6,537.5,0.0536,0.0644,13.72,1
31.7,1.65,952.3489932885908,314.2,52.7,518.2,0.052,0.1018,11.92,1
32.0,1.71,960.4026845637584,311.5,44.8,533.1,0.0535,0.0841,13.74,1
32.3,1.89,968.4563758389264,314.5,46.4,593.5,0.0585,0.0782,22.21,1
32.6,1.89,976.510067114094,314.2,46.8,593.3,0.058,0.0789,17.24,1
32.8,1.83,984.5637583892616,314.1,45.5,573.4,0.0556,0.0794,13.78,1
33.1,1.73,992.6174496644296,312.9,45.6,542.3,0.0524,0.0841,14.09,1
33.4,1.78,1000.6711409395974,311.3,44.9,554.0,0.0534,0.081,15.6,1
33.6,1.66,1008.7248322147652,316.6,49.6,525.2,0.0493,0.0944,19.99,1
33.9,1.86,1016.7785234899328,318.7,36.7,592.4,0.0548,0.0619,15.3,1
34.2,1.79,1024.8322147651006,312.6,39.4,559.7,0.0524,0.0703,12.94,1
34.4,1.79,1032.8859060402683,313.0,50.2,559.6,0.0519,0.0898,19.23,1
34.7,1.68,1040.9395973154365,318.2,45.5,534.7,0.0484,0.0851,11.71,1
35.0,1.74,1048.9932885906042,315.3,48.9,548.8,0.0498,0.0891,11.95,1
35.2,1.77,1057.0469798657718,312.7,43.5,552.7,0.0502,0.0787,18.82,1
35.5,1.82,1065.1006711409395,314.2,40.6,570.5,0.0511,0.0711,18.89,1
35.8,1.67,1073.1543624161072,317.1,38.0,529.6,0.0467,0.0718,11.45,1
36.0,1.58,1081.2080536912752,317.4,49.8,502.4,0.0439,0.0991,13.62,1
36.3,1.75,1089.2617449664428,316.6,42.8,552.6,0.0481,0.0775,19.36,1
36.6,1.55,1097.3154362416103,312.7,47.2,485.4,0.0424,0.0972,14.86,1
36.8,1.59,1105.3691275167785,313.6,53.0,499.8,0.0433,0.1061,12.52,1
37.1,1.67,1113.4228187919464,316.0,44.2,528.5,0.0451,0.0836,14.05,1
37.4,1.68,1121.476510067114,315.6,45.2,531.6,0.0451,0.085,16.05,1
37.7,1.65,1129.5302013422818,317.6,39.6,524.3,0.0438,0.0756,17.34,1
37.9,1.57,1137.5838926174497,315.0,55.6,494.2,0.0414,0.1126,16.8,1
38.2,1.8,1145.6375838926174,317.0,49.5,570.9,0.0472,0.0867,12.56,1
38.5,1.7,1153.6912751677853,312.6,47.4,530.9,0.0442,0.0892,15.28,1
38.7,1.83,1161.744966442953,314.3,44.7,573.8,0.0472,0.0779,18.78,1
39.0,1.96,1169.7986577181207,314.0,42.6,614.3,0.0502,0.0693,18.78,1
39.3,1.66,1177.8523489932886,318.5,43.6,528.0,0.0422,0.0825,11.58,1
39.5,1.87,1185.9060402684563,313.4,45.5,585.1,0.0472,0.0778,12.73,1
39.8,1.74,1193.9597315436242,314.8,50.7,547.5,0.0437,0.0926,9.68,1
40.1,1.57,1202.013422818792,317.3,46.5,499.1,0.0393,0.0932,14.12,1
40.3,1.76,1210.0671140939596,315.8,44.6,556.2,0.0437,0.0803,10.83,1
40.6,1.65,1218.1208053691275,316.0,45.8,522.5,0.0407,0.0876,15.81,1
40.9,1.85,1226.1744966442957,311.0,44.9,575.6,0.0453,0.078,17.75,1
41.1,1.74,1234.2281879194632,316.1,45.0,548.5,0.0422,0.0821,17.09,1
41.4,1.79,1242.2818791946308,315.9,47.6,567.0,0.0433,0.0839,15.36,1
41.7,1.79,1250.3355704697983,312.1,39.0,559.6,0.043,0.0697,16.5,1
41.9,1.77,1258.3892617449665,313.4,43.8,553.9,0.0421,0.079,12.17,1
42.2,1.62,1266.4429530201344,313.5,45.4,509.1,0.0385,0.0892,15.6,1
42.5,1.64,1274.496644295302,313.0,47.1,512.0,0.0385,0.0919,12.95,1
42.8,1.89,1282.5503355704698,315.7,47.8,598.0,0.0443,0.08,16.48,1
43.0,1.63,1290.6040268456377,314.0,37.2,512.5,0.0379,0.0726,13.1,1
43.3,1.69,1298.6577181208054,313.8,48.5,531.8,0.0391,0.0912,8.95,1
43.6,1.69,1306.7114093959733,312.8,38.0,528.3,0.0388,0.0719,9.39,1
43.8,1.63,1314.765100671141,314.3,43.7,511.5,0.0371,0.0855,10.97,1
44.1,1.51,1322.818791946309,313.5,42.6,473.8,0.0343,0.09,10.44,1
44.4,1.68,1330.8724832214766,314.2,45.9,528.7,0.0379,0.0869,8.82,1
44.6,1.66,1338.9261744966443,310.5,43.9,516.1,0.0372,0.0851,9.51,1
44.9,1.66,1346.979865771812,316.3,41.4,525.9,0.037,0.0786,12.75,1
45.2,1.74,1355.0335570469797,316.5,42.9,550.7,0.0385,0.0778,13.89,1
45.4,1.85,1363.0872483221476,315.4,40.5,583.6,0.0407,0.0693,13.55,1
45.7,2.0,1371.1409395973153,317.5,44.8,633.4,0.0437,0.0707,17.27,1
46.0,1.73,1379.1946308724832,317.5,45.2,549.9,0.0377,0.0823,12.16,1
46.2,1.68,1387.248322147651,319.4,47.9,537.2,0.0364,0.0892,9.59,1
46.5,1.61,1395.3020134228186,317.0,45.4,511.5,0.0347,0.0887,11.78,1
46.8,1.72,1403.3557046979863,315.3,49.3,541.0,0.0367,0.0911,13.19,1
47.0,1.79,1411.4093959731542,314.0,42.5,560.9,0.038,0.0758,11.87,1
47.3,1.79,1419.4630872483222,313.9,50.0,561.5,0.0378,0.0891,15.06,1
47.6,1.65,1427.5167785234898,314.0,47.4,517.3,0.0346,0.0916,11.06,1
47.9,1.54,1435.5704697986578,314.7,46.6,485.9,0.0323,0.096,11.9,1
48.1,1.53,1443.6241610738257,317.5,44.8,485.5,0.0318,0.0923,11.62,1
48.4,1.8,1451.6778523489932,315.2,41.2,567.0,0.0372,0.0727,13.19,1
48.7,1.86,1459.731543624161,315.1,44.4,586.6,0.0383,0.0756,9.53,1
48.9,1.63,1467.7852348993288,316.1,43.3,515.0,0.0333,0.084,11.59,1
49.2,1.94,1475.8389261744967,312.1,46.6,604.2,0.0394,0.077,14.2,1
49.5,1.79,1483.8926174496644,313.9,40.2,562.6,0.0362,0.0714,11.16,1
49.7,1.67,1491.9463087248323,316.0,50.9,526.1,0.0335,0.0968,7.6,1
50.0,1.88,1500.0,315.3,43.9,592.0,0.0375,0.0742,9.98,1
10.0,1.47,300.0,314.7,92.4,462.9,0.1471,0.0399,46.29,2
10.3,1.55,308.0536912751678,313.2,96.9,486.3,0.1512,0.0399,47.36,2
10.5,1.43,316.1073825503356,313.4,99.4,447.7,0.1356,0.0444,42.49,2
10.8,1.6,324.16107382550337,313.7,87.3,503.1,0.1484,0.0347,46.56,2
11.1,1.31,332.2147651006712,314.9,100.6,413.2,0.1185,0.0487,37.31,2
11.3,1.63,340.2684563758389,315.6,101.3,514.0,0.1436,0.0394,45.32,2
11.6,1.62,348.3221476510067,313.0,104.9,506.7,0.1394,0.0414,43.64,2
11.9,1.41,356.3758389261745,315.5,87.9,445.8,0.1189,0.0394,37.53,2
12.1,1.52,364.4295302013423,314.7,94.1,479.4,0.1254,0.0393,39.46,2
12.4,1.49,372.4832214765101,318.5,101.7,473.0,0.1196,0.043,38.1,2
12.7,1.68,380.53691275167785,316.6,91.9,532.1,0.1325,0.0345,41.95,2
13.0,1.4,388.59060402684565,313.1,92.0,438.8,0.1082,0.0419,33.88,2
13.2,1.5,396.6442953020134,313.4,97.4,470.0,0.1134,0.0414,35.55,2
13.5,1.6,404.6979865771812,314.3,100.1,501.9,0.1184,0.0399,37.21,2
13.8,1.63,412.75167785234896,314.5,103.7,512.8,0.1185,0.0404,37.27,2
14.0,1.5,420.8053691275168,317.6,100.1,477.3,0.1071,0.0419,34.03,2
14.3,1.59,428.8590604026846,315.8,92.5,502.4,0.1113,0.0368,35.14,2
14.6,1.39,436.9127516778523,312.9,91.7,436.1,0.0957,0.0421,29.94,2
14.8,1.38,444.9664429530201,315.8,88.6,436.1,0.0931,0.0406,29.4,2
15.1,1.36,453.0201342281879,311.1,99.9,423.0,0.09,0.0472,28.01,2
15.4,1.48,461.0738255033557,317.2,100.0,468.2,0.096,0.0427,30.46,2
15.6,1.38,469.1275167785235,313.2,96.0,430.7,0.0879,0.0446,27.54,2
15.9,1.49,477.1812080536913,315.6,96.9,470.5,0.0937,0.0412,29.58,2
16.2,1.45,485.2348993288591,316.7,91.0,459.0,0.0896,0.0397,28.38,2
16.4,1.4,493.2885906040268,316.6,102.7,443.6,0.0852,0.0463,26.98,2
16.7,1.64,501.3422818791947,314.4,95.3,516.6,0.0983,0.0369,30.91,2
17.0,1.3,509.3959731543624,315.9,88.2,411.9,0.0768,0.0428,24.26,2
17.2,1.41,517.4496644295302,313.4,102.6,443.4,0.082,0.0463,25.71,2
